id_category,id_lang,name,description,link_rewrite,meta_title,meta_keywords,meta_description
1,1,Home,,home,NULL,NULL,NULL
1,2,Accueil,,home,NULL,NULL,NULL
1,3,Inicio,,home,NULL,NULL,NULL
1,4,Start,,home,NULL,NULL,NULL
1,5,"Home page",,home,NULL,NULL,NULL
5,1,"Juegos PS3 Nuevos",,juegos-ps3-nuevos,,,
5,2,"Juegos PS3 Nuevos",,juegos-ps3-nuevos,,,
5,3,"Juegos PS3 Nuevos","Juegos de Ps3 nuevos originales al mejor precio de Venezuela",juegos-ps3-nuevos,"Juegos PS3 Playstation 3 Sony Play 3","videojuegos, venezuela, juegos, ps3, playstation 3, xbox360, xbox, wii, vita, psp, nintendo ds, nintendo, belico, ley de videojuegos violentos, mercado libre, regalo, barato, original, economico, mario, fifa 13","Compra venta cambio de videojuegos en Venezuela precio barato"
5,4,"Juegos PS3 Nuevos",,juegos-ps3-nuevos,,,
5,5,"Juegos PS3 Nuevos",,juegos-ps3-nuevos,,,
6,1,"Juegos PS3 Usados",,juegos-ps3-usados,,,
6,2,"Juegos PS3 Usados",,juegos-ps3-usados,,,
6,3,"Juegos PS3 Usados","Juegos de PS3 usados originales al mejor precio de Venezuela",juegos-ps3-usados,"Juegos PS3 Playstation 3 Sony Play 3 Usados","videojuegos, venezuela, juegos, ps3, playstation 3, xbox360, xbox, wii, vita, psp, nintendo ds, nintendo, belico, ley de videojuegos violentos, mercado libre, regalo, barato, original, economico, mario","Compra venta cambio de videojuegos en Venezuela precio barato"
6,4,"Juegos PS3 Usados",,juegos-ps3-usados,,,
6,5,"Juegos PS3 Usados",,juegos-ps3-usados,,,
7,1,"Juegos Wii Nuevos",,juegos-wii-nuevos,,,
7,2,"Juegos Wii Nuevos",,juegos-wii-nuevos,,,
7,3,"Juegos Wii Nuevos","Juegos de Nintendo Wii nuevos sellados al mejor precio de Venezuela",juegos-wii-nuevos,"Juegos Nintendo Wii nuevos originales.","videojuegos, venezuela, juegos, ps3, playstation 3, xbox360, xbox, wii, vita, psp, nintendo ds, nintendo, belico, ley de videojuegos violentos, mercado libre, regalo, barato, original, economico, mario","Compra venta cambio de videojuegos en Venezuela precio barato"
7,4,"Juegos Wii Nuevos",,juegos-wii-nuevos,,,
7,5,"Juegos Wii Nuevos",,juegos-wii-nuevos,,,
8,1,"Juegos XBox360 Nuevos",,juegos-xbox360-nuevos,,,
8,2,"Juegos XBox360 Nuevos",,juegos-xbox360-nuevos,,,
8,3,"Juegos XBox360 Nuevos","Venta de juegos de Xbox 360 nuevos originales al mejor precio de Venezuela",juegos-xbox360-nuevos,"Juegos Xbox 360 nuevos originales","videojuegos, venezuela, juegos, ps3, playstation 3, xbox360, xbox, wii, vita, psp, nintendo ds, nintendo, belico, ley de videojuegos violentos, mercado libre, regalo, barato, original, economico, mario","Compra venta cambio de videojuegos en Venezuela precio barato"
8,4,"Juegos XBox360 Nuevos",,juegos-xbox360-nuevos,,,
8,5,"Juegos XBox360 Nuevos",,juegos-xbox360-nuevos,,,
10,1,"Juegos Nintendo DS/3DS",,juegos-nintendo-ds-3ds,,,
10,2,"Juegos Nintendo DS/3DS",,juegos-nintendo-ds-3ds,,,
10,3,"Juegos Nintendo DS/3DS",,juegos-nintendo-ds-3ds,"nintendo, videojuegos, venezuela","videojuegos, venezuela, juegos, ps3, playstation 3, xbox360, xbox, wii, vita, psp, nintendo ds, nintendo, belico, ley de videojuegos violentos, mercado libre, regalo, barato, original, economico, mario, fifa 13, resident evil 6, Assasin Creed III","Compra venta cambio de videojuegos en Venezuela precio barato"
10,4,"Juegos Nintendo DS/3DS",,juegos-nintendo-ds-3ds,,,
10,5,"Juegos Nintendo DS/3DS",,juegos-nintendo-ds-3ds,,,
11,1,Accesorios,,accesorios,,,
11,2,Accesorios,,accesorios,,,
11,3,Accesorios,"Teclados, controles, periféricos, para todas las consolas.",accesorios,"Accfesorios para Plastation 3 Wii Xbox 360","videojuegos, venezuela, juegos, ps3, playstation 3, xbox360, xbox, wii, vita, psp, nintendo ds, nintendo, belico, ley de videojuegos violentos, mercado libre, regalo, barato, original, economico, mario","Compra venta cambio de videojuegos en Venezuela precio barato"
11,4,Accesorios,,accesorios,,,
11,5,Accesorios,,accesorios,,,
38,1,"Juegos PC Nuevos",,juegos-pc-nuevos,,,
38,2,"Juegos PC Nuevos",,juegos-pc-nuevos,,,
38,3,"Juegos PC",,juegos-pc-nuevos,,,
38,4,"Juegos PC Nuevos",,juegos-pc-nuevos,,,
38,5,"Juegos PC Nuevos",,juegos-pc-nuevos,,,
39,1,Comentarios,,comentarios,,,
39,2,Comentarios,,comentarios,,,
39,3,Comentarios,"Para la sección de comentarios de la tienda",comentarios,,,
39,4,Comentarios,,comentarios,,,
39,5,Comentarios,,comentarios,,,
40,1,Trustedshops,,trustedshops,,,
40,2,Trustedshops,,trustedshops,,,
40,3,Trustedshops,,trustedshops,,,
40,4,Trustedshops,,trustedshops,,,
40,5,Trustedshops,,trustedshops,,,
